iter	Passed	Remaining
0	121	121339
1	143	71380
2	161	53780
3	183	45612
4	208	41435
5	238	39543
6	276	39226
7	313	38870
8	342	37732
9	373	36993
10	408	36720
11	439	36209
12	473	35951
13	496	34988
14	522	34294
15	542	33339
16	572	33078
17	593	32376
18	615	31760
19	641	31439
20	667	31135
21	684	30449
22	708	30099
23	735	29904
24	759	29614
25	783	29368
26	805	29040
27	828	28748
28	853	28588
29	875	28320
30	897	28044
31	921	27869
32	953	27936
33	976	27730
34	996	27471
35	1015	27185
36	1034	26915
37	1052	26650
38	1070	26385
39	1088	26135
40	1109	25953
41	1128	25734
42	1148	25554
43	1166	25341
44	1186	25170
45	1204	24988
46	1223	24804
47	1242	24647
48	1269	24642
49	1289	24499
50	1308	24353
51	1336	24366
52	1360	24316
53	1389	24342
54	1419	24381
55	1436	24212
56	1466	24257
57	1490	24208
58	1514	24150
59	1542	24172
60	1570	24175
61	1598	24176
62	1622	24124
63	1641	24013
64	1663	23923
65	1682	23814
66	1701	23695
67	1723	23616
68	1744	23538
69	1767	23478
70	1786	23380
71	1805	23267
72	1825	23186
73	1844	23077
74	1866	23014
75	1888	22959
76	1906	22858
77	1926	22776
78	1946	22690
79	1966	22609
80	1992	22603
81	2014	22553
82	2038	22525
83	2059	22454
84	2079	22383
85	2098	22307
86	2121	22261
87	2142	22208
88	2163	22142
89	2183	22080
90	2206	22040
91	2236	22069
92	2257	22014
93	2280	21977
94	2300	21912
95	2320	21850
96	2340	21788
97	2358	21711
98	2377	21636
99	2398	21582
100	2418	21524
101	2437	21462
102	2459	21418
103	2478	21351
104	2496	21278
105	2512	21191
106	2529	21114
107	2548	21046
108	2570	21012
109	2589	20953
110	2610	20909
111	2630	20858
112	2650	20806
113	2671	20762
114	2692	20717
115	2711	20664
116	2732	20625
117	2752	20570
118	2773	20531
119	2793	20484
120	2814	20447
121	2841	20450
122	2867	20444
123	2907	20540
124	2935	20550
125	2958	20518
126	2978	20477
127	2999	20433
128	3018	20377
129	3039	20341
130	3058	20291
131	3077	20235
132	3098	20198
133	3118	20155
134	3144	20148
135	3177	20186
136	3206	20197
137	3236	20215
138	3269	20249
139	3305	20304
140	3337	20334
141	3368	20353
142	3398	20366
143	3428	20379
144	3459	20396
145	3488	20403
146	3519	20423
147	3570	20551
148	3604	20586
149	3633	20589
150	3670	20640
151	3704	20669
152	3729	20647
153	3762	20669
154	3811	20777
155	3844	20800
156	3877	20818
157	3899	20780
158	3932	20800
159	3963	20808
160	3996	20823
161	4021	20801
162	4058	20841
163	4092	20862
164	4126	20881
165	4154	20872
166	4182	20862
167	4206	20832
168	4231	20808
169	4252	20763
170	4274	20724
171	4297	20688
172	4321	20658
173	4342	20613
174	4362	20565
175	4384	20525
176	4405	20484
177	4425	20435
178	4449	20408
179	4468	20354
180	4490	20317
181	4512	20281
182	4531	20231
183	4564	20242
184	4586	20205
185	4607	20165
186	4633	20144
187	4652	20094
188	4671	20043
189	4690	19997
190	4709	19948
191	4729	19904
192	4750	19862
193	4769	19817
194	4795	19797
195	4840	19856
196	4862	19821
197	4894	19823
198	4927	19832
199	4945	19780
200	4964	19733
201	4984	19690
202	5006	19656
203	5027	19615
204	5046	19571
205	5066	19529
206	5085	19480
207	5104	19435
208	5124	19393
209	5144	19352
210	5163	19309
211	5182	19264
212	5203	19224
213	5221	19178
214	5239	19130
215	5256	19078
216	5276	19040
217	5297	19002
218	5319	18968
219	5339	18932
220	5359	18892
221	5380	18854
222	5401	18819
223	5421	18781
224	5441	18744
225	5463	18710
226	5486	18682
227	5508	18649
228	5528	18613
229	5548	18577
230	5568	18537
231	5586	18494
232	5604	18450
233	5623	18410
234	5642	18369
235	5664	18336
236	5683	18298
237	5708	18277
238	5728	18241
239	5748	18203
240	5771	18177
241	5793	18146
242	5812	18107
243	5833	18074
244	5851	18031
245	5869	17991
246	5888	17952
247	5906	17910
248	5924	17869
249	5946	17840
250	5967	17807
251	5987	17771
252	6005	17732
253	6024	17693
254	6043	17657
255	6063	17621
256	6081	17580
257	6100	17544
258	6118	17506
259	6136	17466
260	6155	17427
261	6187	17428
262	6216	17421
263	6239	17396
264	6271	17393
265	6303	17393
266	6332	17385
267	6358	17366
268	6382	17343
269	6407	17322
270	6431	17300
271	6461	17293
272	6487	17277
273	6507	17241
274	6528	17211
275	6548	17178
276	6569	17146
277	6593	17125
278	6613	17091
279	6632	17056
280	6650	17017
281	6670	16982
282	6691	16952
283	6708	16912
284	6727	16876
285	6749	16849
286	6769	16818
287	6788	16782
288	6805	16743
289	6824	16709
290	6843	16673
291	6862	16638
292	6880	16602
293	6898	16565
294	6921	16540
295	6940	16507
296	6960	16476
297	6980	16444
298	6999	16409
299	7018	16376
300	7036	16340
301	7054	16304
302	7074	16273
303	7101	16258
304	7128	16243
305	7147	16209
306	7165	16175
307	7184	16142
308	7203	16108
309	7221	16073
310	7239	16039
